"ONDERWIJSBESTUURID","ONDERWIJSBESTUUR_NAAM","ONDERWIJSAANBIEDERID","ONDERWIJSAANBIEDER_NAAM","SOORT","OPLEIDINGSEENHEIDCODE","ERKENDEOPLEIDINGSCODE","VARIANT_VAN","ERKENNER","NAAM_LANG","INTERNATIONALE_NAAM","BEGINDATUM","EINDDATUM","NIVEAU","GRAAD","STUDIELAST","EQF","ISCED","NLQF","WAARDEDOCUMENTSOORT","PENVOERDER","EIGENNAAM","EIGENNAAM_DUITS","EIGENNAAM_ENGELS","VORM","VOERTAAL","AANGEBODEN_OPLEIDING_BEGINDATUM","AANGEBODEN_OPLEIDING_EINDDATUM","EERSTE_INSTROOMDATUM","LAATSTE_INSTROOMDATUM","WEBSITE","SAMENWERKEND_MET","BUITENLANDSEPARTNER","DEFICIENTIE","EISEN_WERKZAAMHEDEN","PROPEDEUTISCHE_FASE","STUDIEKEUZECHECK","VERSNELD_TRAJECT","AANGEBODEN_OPLEIDINGCODE","EIGEN_AANGEBODEN_OPLEIDINGSLEUTEL","ONDERWIJSLOCATIECODE","ONDERWIJSLOCATIESTRAAT","ONDERWIJSLOCATIEPLAATS","OMSCHRIJVING"
"100B349","Stichting HZ University of Appl. Scienc.","","","OPLEIDING","1001O2869","34074",,"NVAO","Watermanagement","Water Management",2015-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences",,,,,,,,,,,,,,,,,,,,,,,
"100B349","Stichting HZ University of Appl. Scienc.","","","OPLEIDING","1001O3168","34279",,"NVAO","Civiele Techniek","Civil Engineering",2002-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences",,,,,,,,,,,,,,,,,,,,,,,
"100B349","Stichting HZ University of Appl. Scienc.","","","OPLEIDING","1001O8858","49506",,"NVAO","River Delta Development (joint degree)","River Delta Development (joint degree)",2023-09-01,,"HBO-MA","MASTER",120,"7",,"7","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences",,,,,,,,,,,,,,,,,,,,,,,
"100B349","Stichting HZ University of Appl. Scienc.","","","OPLEIDING","1001O8887","80140",,"NVAO","Sociaal Werk","Social Work",2024-09-01,,"HBO-AD","ASSOCIATE_DEGREE",120,"5",,"5","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences",,,,,,,,,,,,,,,,,,,,,,,
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O2660","30017",,"NVAO","Global Project and Change Management","Global Project and Change Management",2021-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences",,,,"VOLTIJD","ENG",2021-09-01,,2021-09-01,,"https://hz.nl/opleidingen/global-project-change-management",,,,,"PROPEDEUTISCHE_FASE_EXAMEN","STUDIEKEUZE_CHECK_VERPLICHT",,"7e2f59f9-d2af-4c36-8c4e-81476a3858d9",,"113X626","Het Groene Woud","Middelburg",
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O2667","30020",,"NVAO","HBO-ICT","Information & Communication Technology",2013-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences",,,,"DEELTIJD","NLD",2023-02-23,,2023-09-01,,"https://hz.nl/opleidingen/hbo-ict-deeltijd",,,,,"PROPEDEUTISCHE_FASE_EXAMEN","GEEN_STUDIEKEUZE_CHECK",,"6e574f4c-3ca0-4f81-a27e-6f74a71a8dac",,"113X626","Het Groene Woud","Middelburg",
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O2667","30020",,"NVAO","HBO-ICT","Information & Communication Technology",2013-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences",,,,"VOLTIJD","ENG",2018-09-01,,2018-09-01,,"https://hz.nl/opleidingen/hbo-ict",,,,,"PROPEDEUTISCHE_FASE_EXAMEN","GEEN_STUDIEKEUZE_CHECK",,"8d41b6db-58d4-4eca-a619-8b4a19974074",,"113X626","Het Groene Woud","Middelburg",
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O2667","30020",,"NVAO","HBO-ICT","Information & Communication Technology",2013-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences",,,,"VOLTIJD","NLD",2018-09-01,,2018-09-01,,"https://hz.nl/opleidingen/hbo-ict",,,,,"PROPEDEUTISCHE_FASE_EXAMEN","GEEN_STUDIEKEUZE_CHECK",,"bda38198-aed4-43bf-986d-34c883db6dfc",,"113X626","Het Groene Woud","Middelburg",
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O2694","30029",,"NVAO","International Business","International Business",2018-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences","B International Business",,"B International Business","VOLTIJD","ENG",2018-09-01,,2018-09-01,,"https://hz.nl/opleidingen/international-business",,,,,"PROPEDEUTISCHE_FASE_EXAMEN","GEEN_STUDIEKEUZE_CHECK",,"f8dfb160-46ae-4983-b467-51d0a6f8c52b",,"113X655","Edisonweg","Vlissingen",
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O2745","30107",,"NVAO","Engineering","Engineering",2013-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences",,,,"VOLTIJD","NLD",2023-02-23,,2023-09-01,,"https://hz.nl/opleidingen/engineering",,,,,"PROPEDEUTISCHE_FASE_EXAMEN","GEEN_STUDIEKEUZE_CHECK",,"0d73e18c-eb11-4a08-9132-e863eb7103c4",,"113X626","Het Groene Woud","Middelburg",
